time,target,master_offset,freq,path_delay
1736679107.925870493,0.5000002384185791,-22282,10473,733931
1736679108.925870758,0.5000126361846924,-67407,-41337,842420
1736679109.926159627,0.4999687671661377,81795,87643,842420
1736679110.926677018,0.5000278949737549,-90318,-59931,733931
1736679111.925928222,0.500006914138794,-14346,-11055,733931
1736679112.926303489,0.49997591972351074,-7921,-8934,733931
1736679113.928699751,0.49984073638916016,407013,403624,721615
1736679114.926626953,0.5000765323638916,-261994,-143279,721615
1736679115.926366559,0.5000889301300049,-229160,-189043,721615
1736679116.926439743,0.5000419616699219,-66114,-94745,736758
1736679117.926134582,0.49998974800109863,44534,-3931,736758
1736679118.926892150,0.49991893768310547,214831,179726,679185
1736679119.927766527,0.49997973442077637,49664,79008,736758
1736679120.926607881,0.5000698566436768,-200783,-156540,736758
1736679121.927239029,0.5000131130218506,-6190,-22182,697287
1736679122.926420812,0.5000205039978027,-10757,-28606,800064
1736679123.926911356,0.5000443458557129,-69776,-90852,879726
1736679124.926989992,0.5000343322753906,-15496,-57504,973545
1736679125.927634437,0.5000386238098145,-65358,-112015,973545
1736679126.926681666,0.49994945526123047,203468,137203,933414
1736679127.927174741,0.5000278949737549,-78286,-83510,933414
1736679128.926654934,0.4999353885650635,151588,122878,933414
1736679129.927176798,0.49994492530822754,171332,188098,954316
1736679130.926704733,0.5001060962677002,-377697,-309531,1028311
1736679131.927238074,0.49986743927001953,404713,359570,1028311
1736679132.927310946,0.5001132488250732,-326922,-250651,1028311
1736679133.927406599,0.500023603439331,-47104,-68910,926084
1736679134.927388396,0.49993300437927246,134306,98369,800057
1736679135.928878428,0.49987292289733887,357085,361440,947897
1736679136.927367156,0.5001518726348877,-442830,-331350,1050125
1736679137.927718055,0.5000603199005127,-103168,-124537,1050125
1736679138.928514162,0.500042200088501,-24810,-77129,968179
1736679139.927270791,0.5000391006469727,-44801,-104563,1087759
1736679140.927527886,0.4999580383300781,163426,90224,1087759
1736679141.927609629,0.4999716281890869,93477,69302,1013031
1736679142.927833993,0.49999475479125977,1526,5394,982524
1736679143.928009658,0.4999656677246094,57354,61680,937672
1736679144.927550391,0.49993348121643066,104877,126409,939127
1736679145.927800326,0.4999363422393799,136810,189806,917071
1736679146.927479222,0.4998922348022461,-298546,-204507,917071
1736679147.930961885,0.4989809989929199,2727830,2732305,917071
1736679148.927896203,0.500849723815918,-2688704,-1865880,917071
1736679149.928040049,0.5003440380096436,-753859,-737646,955004
1736679150.928693586,0.5001707077026367,-176506,-386451,955004
1736679151.927999373,0.5000269412994385,195697,-67200,917071
1736679152.935320152,0.4999666213989258,255524,51336,917071
1736679153.927906507,0.4999213218688965,300721,173190,944699
1736679154.928283626,0.499969482421875,126018,88704,944699
1736679155.934194230,0.4999980926513672,-90177,-89686,981415
1736679156.930051765,0.4997892379760742,596398,569836,981415
1736679157.928986496,0.5001816749572754,-557258,-404901,981415
1736679158.928634834,0.49994850158691406,-91858,-106678,916141
1736679159.931388772,0.4994955062866211,1406549,1364172,822794
1736679160.928510001,0.5004410743713379,-1359757,-980170,906135
1736679161.928734467,0.5001044273376465,-277570,-305910,822794
1736679162.929765296,0.4998667240142822,483514,371903,822794
1736679163.928618708,0.5001111030578613,-343247,-309804,822794
1736679164.928720867,0.49989986419677734,363227,293696,822794
