data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,attack_value,PTPts
2402395.375,1739518811.655033,4697.0,147329.0,3895500.0,0.022789716720581,-2380898.0,3159864.0,0.0,0.0,2456147.9377897168
2669648.008,1739518812.729714,-839090.0,-695049.0,4118056.0,0.0459551811218261,-478126.0,2477559.0,0.0,0.0,2343762.471955181
2921150.825,1739518813.649667,451707.0,344021.0,4047726.0,0.0173959732055664,-993763.0,2193963.0,0.0,0.0,3031974.4903959734
2949050.801,1739518814.723778,-434625.0,-406799.0,4134825.0,0.0399751663208007,-164275.0,2293071.0,0.0,0.0,2764125.4979751664
2962327.839,1739518815.694907,625337.0,522776.0,4003460.0,0.0114014148712158,-748760.0,2349283.0,0.0,0.0,3167415.838401415
2654375.859,1739518816.665883,32158.0,117198.0,4068365.0,0.0329220294952392,-823646.0,2380414.0,0.0,0.0,2715839.4329220294
2506923.156,1739518817.688509,154706.0,249393.0,3902063.0,0.0562119483947753,-1556278.0,2895026.0,0.0,0.0,2610808.893211948
2376887.019,1739518818.661072,-87503.0,53596.0,3926251.0,0.0283970832824707,-98414.0,1385156.0,0.0,0.0,2397237.717397083
2404307.521,1739518819.684578,-172889.0,-58041.0,3959631.0,0.051633596420288,21387.0,1384114.0,0.0,0.0,2365129.4586335965
2470424.451,1739518820.70821,-72794.0,-9812.0,3978296.0,0.024256944656372,-133159.0,2061981.0,0.0,0.0,2448366.4922569445
2329442.022,1739518821.684348,345607.0,386750.0,4083216.0,0.0511834621429443,-2045927.0,2641761.0,0.0,0.0,2490370.415183462
2664023.695,1739518822.707458,-1271504.0,-1126678.0,4367339.0,0.0238265991210937,-862200.0,3089003.0,0.0,0.0,2151024.691826599
3223869.617,1739518823.679275,418418.0,181792.0,4308386.0,0.0469257831573486,397801.0,1221455.0,0.0,0.0,3241782.1559257833
3151452.932,1739518824.702753,118711.0,7611.0,4000546.0,0.0692224502563476,285993.0,1329803.0,0.0,0.0,3147996.6352224504
3099177.623,1739518825.675396,247197.0,171710.0,3868599.0,0.0424020290374755,-115323.0,1596662.0,0.0,0.0,3162684.250402029
3000174.473,1739518826.648024,79422.0,78094.0,3901918.0,0.0149986743927001,-1099793.0,2524856.0,0.0,0.0,3028343.4359986745
2926340.675,1739518827.722484,112218.0,134717.0,3812845.0,0.0382978916168212,-1269129.0,3126363.0,0.0,0.0,2976160.3682978917
2638168.727,1739518828.643766,480714.0,536878.0,3876521.0,0.0622642040252685,211128.0,1136399.0,0.0,0.0,2874012.940264204
2451211.556,1739518829.718889,-364267.0,-163889.0,4211795.0,0.0347683429718017,-655605.0,1679003.0,0.0,0.0,2384620.856768343
2840389.831,1739518830.742881,-683299.0,-592201.0,4206697.0,0.0580554008483886,510658.0,1134019.0,0.0,0.0,2548185.9260554006
3234105.378,1739518831.663829,22031.0,-91860.0,4122646.0,0.0317914485931396,-1352994.0,3106211.0,0.0,0.0,3151347.8897914486
