Seconds_sin,Seconds_cos,master_offset,freq,path_delay,OT
-0.9246174742125757,-0.38089700232576923,50742,74902,3899359,3147689.332
-0.9246451727405571,-0.38082975793336493,-52565,-13183,3950638,3211851.634
-0.924672856624165,-0.3807625352138868,5951,29564,3950638,3419708.524
-0.9247005502630635,-0.3806952749157619,-19215,6183,3962083,3465544.316
-0.924728230321927,-0.38062803370965365,-38724,-19091,3995502,3452546.26
-0.9247559088140197,-0.3805607824166284,7013,15029,3995502,3430207.761
-0.9247835803397393,-0.38049353415532955,10599,20719,3995502,3434681.261
-0.9248112407002136,-0.3804262991362869,20331,33631,3995502,3405084.65
-0.92483890944242,-0.38035902984069564,12071,31470,3995502,3485824.748
-0.9248665668205974,-0.38029177427007466,-37128,-14108,3995502,3435580.055
-0.9248942194069565,-0.38022451644731786,104289,116171,3932380,3360510.512
-0.9249218670739066,-0.38015725668270317,43688,86857,3932380,3225408.909
-0.9249495042807477,-0.38009000845957397,-984,55291,3932380,3179740.969
-0.9249771483565365,-0.3800227296073353,-84498,-28518,3969643,3370895.242
-0.9250047807196818,-0.37995546534526037,141753,172384,3814310,3352803.629
-0.9250324085732808,-0.3798881981440262,-29376,43780,3814310,3068245.201
-0.9250600297461669,-0.37982093329096667,-60282,4062,3814310,2976059.668
-0.9250876436876984,-0.37975367213016126,-22832,23427,3814310,3002908.795
-0.9251152625922443,-0.3796863849532701,85972,125381,3689125,3176490.965
-0.9251428659309517,-0.3796191217747928,-4277,60924,3689125,3514825.286
-0.9251704733812532,-0.3795518346464785,-154472,-90554,3814310,3294598.455
-0.9251980724123158,-0.3794845541053487,-40252,-22676,3814310,3091821.224
-0.9252256605112441,-0.37941728628454974,-145495,-139994,3961570,3252119.167
-0.9252532515020261,-0.37934999747585135,25238,-12910,3961570,3320779.119
-0.9252808335954867,-0.37928271642778716,89278,58702,3940766,3351306.35
-0.9253084164937692,-0.3792154194726178,64409,60616,3940766,3050658.966
-0.9253359898246959,-0.3791481319156806,-198073,-182543,4158449,2917771.11
-0.9253635563711815,-0.3790808469707737,24686,-19206,4158449,3030542.372
-0.9253911226962009,-0.37901354861675435,-40307,-76793,4235375,2970796.324
-0.9254186838799369,-0.37894624886113526,103365,54787,4235375,2964219.723
-0.9254462398871067,-0.3788789477904727,-57987,-75556,4338783,2967516.068
-0.9254737891309527,-0.3788116492817994,45100,10135,4358787,3008736.327
